kepid,ra,dec,teff,teff_err_high,teff_err_low,logg,logg_err_high,logg_err_low,kepmag,Q4,Q8,Q11,Q16
2309719,19 31 43.404,+37 36 23.90,6161,123,-135,4.281,0.12,-0.12,12.899,-1,0,1,-1
2310129,19 32 06.182,+37 41 44.91,4855,72,-109,2.727,0.208,-0.112,10.934,0,-1,0,0
2310284,19 32 14.942,+37 39 20.66,6818,165,-283,4.305,0.07,-0.21,13.822,0,1,1,-1
2310370,19 32 18.612,+37 37 27.64,3707,88,-100,0.68,0.03,-0.03,13.045,1,1,-1,-1
2421898,19 03 15.132,+37 44 07.18,3687,134,-89,1.363,0.172,-0.258,11.067,-1,-1,-1,-1
2421934,19 03 18.341,+37 47 21.12,5596,248,-248,4.533,0.058,-0.173,15.306,0,0,0,-1
2422539,19 04 11.023,+37 46 10.81,4056,73,-54,1.345,0.115,-0.127,11.559,-1,-1,-1,-1
2425504,19 08 08.942,+37 43 46.64,5524,163,-163,4.622,0.035,-0.105,15.994,0,0,1,-1
2435971,19 20 19.109,+37 47 16.67,5407,215,-215,3.546,0.864,-0.216,14.695,-1,-1,-1,-1
2436458,19 20 35.858,+37 46 52.03,4474,147,-79,2.434,0.033,-0.033,14.597,0,-1,0,0
2436635,19 20 39.814,+37 43 54.15,4624,151,-151,4.595,0.056,-0.028,15.856,-1,-1,-1,-1
2437038,19 20 47.606,+37 44 31.71,5619,169,-169,4.356,0.158,-0.193,15.955,-1,-1,-1,-1
2437044,19 20 47.674,+37 43 20.78,5239,203,-166,4.532,0.06,-0.09,15.749,0,-1,0,0
2437171,19 20 49.716,+37 43 42.67,3617,65,-65,0.771,0.144,-0.096,12.598,1,-1,-1,-1
2437234,19 20 50.779,+37 46 33.63,4741,142,-142,4.58,0.059,-0.032,13.173,0,1,-1,1
2437296,19 20 51.804,+37 46 48.15,4962,173,-156,3.627,0.855,-0.228,16.032,0,0,-1,0
2437452,19 20 54.281,+37 45 34.70,5653,186,-186,4.573,0.04,-0.16,16.981,-1,-1,-1,-1
2437816,19 21 01.121,+37 42 13.44,4292,50,-69,2.129,0.036,-0.027,13.98,0,0,0,-1
2438151,19 21 08.414,+37 44 55.03,4596,138,-138,4.59,0.056,-0.024,15.433,-1,-1,-1,-1
2438421,19 21 16.063,+37 46 46.26,3641,66,-73,0.775,0.144,-0.096,12.385,-1,-1,-1,-1
2438502,19 21 18.698,+37 43 36.27,5463,87,-76,3.79,0.238,-0.085,16.209,1,1,1,-1
2438873,19 21 34.351,+37 42 36.93,4705,167,-167,4.681,0.052,-0.032,15.936,-1,-1,-1,-1
2439144,19 21 48.662,+37 43 22.62,4739,167,-167,4.636,0.024,-0.06,15.67,0,0,-1,0
2439233,19 21 53.393,+37 43 03.93,4177,69,-63,1.407,0.138,-0.103,11.587,0,0,0,-1
2441154,19 23 45.036,+37 44 30.47,4580,126,-91,2.656,0.366,-0.244,10.326,-1,-1,-1,-1
2441436,19 24 01.310,+37 47 56.72,4104,92,-112,1.501,0.03,-0.03,13.018,0,0,-1,0
2441989,19 24 33.230,+37 47 29.04,4306,127,-140,4.707,0.041,-0.05,15.911,0,-1,0,0
2442004,19 24 33.984,+37 45 55.98,3972,59,-59,4.688,0.028,-0.016,15.89,1,-1,1,1
2442084,19 24 38.424,+37 45 39.96,3892,86,-86,4.708,0.036,-0.021,15.591,-1,-1,-1,-1
2442551,19 25 04.790,+37 46 12.82,5860,140,-158,4.528,0.048,-0.192,12.445,0,1,-1,-1
2442866,19 25 20.479,+37 42 14.26,4538,150,-150,4.607,0.052,-0.024,14.702,-1,-1,-1,-1
2443434,19 25 51.593,+37 47 42.58,3614,75,-96,0.534,0.03,-0.03,13.212,-1,-1,-1,-1
2443939,19 26 18.934,+37 43 24.38,5578,165,-148,4.526,0.09,-0.11,14.147,-1,0,0,0
2444187,19 26 31.757,+37 44 16.66,6474,175,-214,4.171,0.19,-0.171,14.138,-1,-1,-1,-1
2445134,19 27 23.928,+37 44 19.04,6247,169,-206,4.225,0.185,-0.185,13.551,-1,-1,-1,-1
2445975,19 28 07.418,+37 46 24.70,5780,,,4.438,,,13.513,-1,-1,-1,-1
2446436,19 28 31.310,+37 44 03.34,6063,163,-163,4.227,0.264,-0.176,13.215,-1,-1,-1,0
2446577,19 28 36.900,+37 42 14.97,5559,183,-167,4.59,0.038,-0.143,15.989,0,0,-1,0
2447175,19 29 05.633,+37 47 22.78,3287,117,-88,0.114,0.2,-0.05,10.895,-1,-1,-1,-1
2447893,19 29 41.770,+37 47 40.28,5211,156,-140,4.587,0.078,-0.052,14.49,-1,-1,-1,-1
2448186,19 29 57.312,+37 45 40.18,5137,179,-179,4.608,0.039,-0.077,15.956,-1,0,0,0
2448320,19 30 04.591,+37 42 57.64,5361,187,-187,4.599,0.058,-0.071,15.858,-1,-1,-1,-1
2450412,19 31 59.501,+37 44 45.02,3903,62,-70,0.94,0.138,-0.092,10.569,-1,-1,1,-1
2450566,19 32 08.710,+37 45 45.87,6728,80,-80,4.161,0.132,-0.108,11.72,-1,-1,-1,-1
2451037,19 32 34.584,+37 42 07.93,6248,81,-75,4.328,0.08,-0.12,12.609,-1,0,1,1
2451721,19 33 08.760,+37 47 09.93,6380,154,-220,4.424,0.07,-0.21,14.794,1,-1,-1,-1
2452771,19 34 03.802,+37 43 31.48,3852,121,-162,4.725,0.084,-0.042,13.551,1,-1,-1,0
2453212,19 34 27.986,+37 47 23.14,6497,180,-248,4.396,0.062,-0.188,15.946,-1,-1,-1,-1
2554867,19 04 08.210,+37 53 49.31,8757,272,-363,3.803,0.378,-0.162,12.075,1,1,-1,-1
2556113,19 05 39.242,+37 49 21.39,5667,169,-135,3.878,0.552,-0.13,12.849,0,-1,1,1
2556127,19 05 40.848,+37 48 20.71,6152,153,-199,4.464,0.05,-0.2,12.895,-1,-1,-1,-1
2557335,19 07 16.025,+37 50 00.71,5569,166,-166,4.504,0.099,-0.121,15.509,-1,-1,-1,-1
2557430,19 07 22.867,+37 48 57.21,6531,146,-178,4.12,0.246,-0.164,11.471,-1,-1,-1,-1
2557555,19 07 31.874,+37 49 16.24,5421,108,-86,3.334,0.248,-0.33,12.4,-1,-1,-1,-1
2557669,19 07 40.759,+37 52 41.37,3671,54,-60,4.827,0.039,-0.035,14.746,-1,-1,-1,-1
2568643,19 20 10.670,+37 52 53.61,5780,,,4.438,,,13.56,0,1,0,-1
2568971,19 20 26.119,+37 50 42.76,7514,235,-314,4.052,0.193,-0.158,13.18,-1,-1,-1,-1
2569639,19 20 46.795,+37 50 13.77,8243,226,-340,4.126,0.145,-0.145,10.647,-1,-1,0,0
2570289,19 21 02.702,+37 48 48.57,6105,195,-238,4.08,0.293,-0.158,15.33,-1,-1,-1,-1
2570330,19 21 03.662,+37 48 03.42,4682,104,-127,2.867,0.45,-0.3,16.538,-1,-1,-1,1
2571238,19 21 40.994,+37 51 06.48,5546,100,-111,4.575,0.018,-0.102,11.898,1,1,-1,-1
2571439,19 21 52.632,+37 51 18.82,5275,84,-73,4.446,0.09,-0.06,14.696,-1,-1,-1,-1
2572370,19 22 45.214,+37 48 45.82,5226,155,-155,4.551,0.045,-0.091,14.712,-1,-1,-1,-1
2572681,19 23 02.102,+37 53 05.35,5817,159,-145,3.981,0.458,-0.153,12.349,-1,-1,0,0
2574644,19 24 50.933,+37 50 20.14,6092,192,-235,4.471,0.056,-0.224,15.033,0,-1,0,0
2576692,19 26 34.322,+37 48 51.33,5784,145,-131,3.985,0.308,-0.11,12.744,-1,-1,-1,-1
2577694,19 27 24.178,+37 53 58.48,5582,149,-166,4.563,0.038,-0.152,15.673,-1,0,0,0
2577743,19 27 26.302,+37 53 46.97,3673,117,-147,4.691,0.08,-0.02,14.014,1,0,1,-1
2577756,19 27 26.880,+37 49 47.79,5840,157,-174,4.619,0.032,-0.128,15.514,-1,-1,-1,-1
2578582,19 28 07.786,+37 50 49.24,7302,203,-319,4.008,0.192,-0.157,13.936,0,0,1,-1
2580589,19 29 51.175,+37 49 21.57,5022,151,-151,4.607,0.025,-0.075,15.921,0,-1,0,0
2580872,19 30 06.862,+37 48 36.07,5496,164,-164,4.471,0.075,-0.163,14.88,-1,-1,-1,-1
2581074,19 30 18.281,+37 51 47.02,3879,86,-106,0.897,0.03,-0.03,12.265,1,1,0,-1
2581316,19 30 30.593,+37 51 36.51,6259,99,-136,4.385,0.034,-0.128,11.69,0,0,0,-1
2582539,19 31 34.255,+37 50 52.04,7302,201,-327,3.732,0.392,-0.098,13.286,1,1,-1,-1
2582664,19 31 40.349,+37 50 09.99,3291,107,-88,0.169,0.208,-0.052,10.081,-1,-1,-1,-1
2583153,19 32 08.122,+37 48 57.17,7071,225,-310,4.042,0.185,-0.167,11.696,1,-1,1,-1
2583777,19 32 40.145,+37 50 29.00,6032,181,-163,4.147,0.299,-0.161,12.735,0,-1,-1,-1
2584908,19 33 41.470,+37 50 41.74,8143,73,-89,3.96,0.138,-0.08,10.846,-1,1,-1,0
2585386,19 34 05.398,+37 51 28.32,5692,186,-186,4.547,0.035,-0.184,15.985,1,0,-1,1
2585397,19 34 05.969,+37 52 46.23,4975,49,-107,2.893,0.217,-0.093,10.974,-1,1,0,-1
2692704,19 03 06.101,+37 55 22.07,3792,120,-147,4.664,0.072,-0.018,13.324,-1,-1,-1,-1
2692708,19 03 06.401,+37 55 26.15,3694,117,-147,4.686,0.076,-0.022,13.719,-1,-1,-1,-1
2693092,19 03 37.164,+37 55 41.12,6078,164,-183,3.946,0.277,-0.111,12.003,-1,-1,-1,-1
2694640,19 05 30.514,+37 54 56.60,4764,144,-108,2.985,0.445,-0.364,14.124,-1,-1,-1,-1
2694741,19 05 38.950,+37 54 29.52,5486,149,-149,4.542,0.054,-0.117,12.297,-1,-1,-1,-1
2694746,19 05 39.706,+37 54 20.95,5394,187,-187,4.622,0.035,-0.105,15.926,-1,-1,-1,-1
2695740,19 06 55.363,+37 56 39.51,4835,95,-154,1.684,0.48,-0.16,13.24,-1,-1,-1,-1
2696120,19 07 29.479,+37 58 00.45,3328,89,-89,0.314,0.03,-0.03,13.662,-1,-1,-1,-1
2696217,19 07 37.010,+37 54 19.59,7405,233,-311,4.188,0.149,-0.182,13.452,-1,-1,-1,-1
2696703,19 08 13.776,+37 59 28.92,6785,185,-278,4.162,0.128,-0.192,9.58,-1,-1,-1,-1
2696938,19 08 31.867,+37 55 52.75,6484,146,-178,4.161,0.209,-0.171,10.336,0,1,-1,0
2697935,19 09 52.286,+37 57 59.90,5088,128,-141,3.508,0.187,-0.153,10.63,-1,-1,-1,-1
2707312,19 20 23.453,+37 54 57.82,3273,117,-78,0.117,0.213,-0.05,11.635,-1,-1,-1,-1
2708156,19 21 08.906,+37 56 11.43,11287,313,-469,3.642,0.522,-0.058,10.672,-1,-1,-1,-1
2709271,19 22 15.475,+37 57 47.67,8715,238,-408,3.901,0.286,-0.154,9.918,0,-1,0,0
2710323,19 23 17.285,+37 57 30.64,4831,145,-145,4.73,0.042,-0.024,15.376,-1,-1,-1,-1
2710357,19 23 18.713,+37 59 12.10,3543,69,-83,0.276,0.03,-0.027,13.899,-1,-1,-1,-1
2711114,19 24 03.413,+37 58 10.96,6491,146,-194,4.223,0.153,-0.187,12.335,-1,-1,-1,-1
2712582,19 25 20.155,+37 57 08.10,5560,169,-152,3.991,0.456,-0.143,13.998,0,0,0,-1
2713086,19 25 47.035,+37 56 58.32,3920,86,-86,4.7,0.033,-0.018,15.02,-1,-1,-1,-1
